"FORMAL","ESTRATO","DEPARTAMENTO","SEXO","ESTADO_CIVIL","TRAB_VEN","EDAD","HORAS_TRAB_SEM","INGRESO_D","INGRESO_E"
"Sí","Medio alto","ANCASH","Hombre","Conviviente","Sí",51,60,450,0
"No","Medio alto","ANCASH","Mujer","Conviviente","Sí",37,18,140,0
"No","Medio alto","ANCASH","Hombre","Separado","Sí",51,40,350,0
"No","Medio alto","ANCASH","Hombre","Conviviente","No",20,40,350,0
"No","Medio","ANCASH","Hombre","Conviviente","Sí",27,52,400,0
"No","Medio","ANCASH","Mujer","Conviviente","No",27,48,300,0
"No","Medio","ANCASH","Hombre","Soltero/a","Sí",21,39,200,25
"No","Medio","ANCASH","Hombre","Conviviente","Sí",32,72,700,0
"No","Medio","ANCASH","Mujer","Conviviente","Sí",36,72,700,0
"Sí","Medio","ANCASH","Hombre","Soltero/a","Sí",32,54,270,66
NA,"Medio","ANCASH","Hombre","Conviviente","Sí",33,77,NA,NA
NA,"Medio","ANCASH","Hombre","Separado","Sí",36,60,NA,NA
NA,"Medio","ANCASH","Hombre","Soltero/a","Sí",38,56,NA,NA
"No","Medio","ANCASH","Hombre","Casado/a","Sí",42,31,450,30
"Sí","Medio","ANCASH","Hombre","Conviviente","Sí",51,40,300,0
"No","Medio bajo","ANCASH","Hombre","Conviviente","Sí",43,48,465,0
"No","Medio bajo","ANCASH","Mujer","Conviviente","Sí",38,48,500,0
NA,"Medio bajo","ANCASH","Mujer","Conviviente","Sí",26,60,NA,NA
NA,"Medio bajo","ANCASH","Hombre","Conviviente","Sí",30,60,NA,NA
NA,"Medio bajo","ANCASH","Mujer","Conviviente","Sí",18,60,NA,NA
"No","Medio bajo","ANCASH","Hombre","Soltero/a","Sí",45,60,1200,0
NA,"Medio bajo","ANCASH","Mujer","Soltero/a","No",23,56,NA,NA
"No","Medio bajo","ANCASH","Mujer","Soltero/a","No",21,48,50,0
"No","Medio bajo","ANCASH","Mujer","Soltero/a","No",21,30,60,0
"No","Medio bajo","ANCASH","Hombre","Soltero/a","No",16,36,150,0
NA,"Medio bajo","ANCASH","Hombre","Conviviente","Sí",30,35,NA,NA
NA,"Medio bajo","ANCASH","Mujer","Conviviente","No",30,35,NA,NA
"No","Medio bajo","ANCASH","Hombre","Conviviente","Sí",24,84,300,0
NA,"Medio bajo","ANCASH","Mujer","Conviviente","Sí",42,84,NA,NA
"No","Medio bajo","ANCASH","Hombre","Soltero/a","No",17,84,250,0
"No","Medio bajo","ANCASH","Mujer","Conviviente","Sí",39,39,400,0
"No","Medio bajo","ANCASH","Hombre","Conviviente","No",20,52,430,0
"No","Medio bajo","ANCASH","Hombre","Soltero/a","Sí",29,72,300,30
"No","Medio bajo","ANCASH","Mujer","Separado","Sí",40,66,300,42
"No","Medio bajo","ANCASH","Hombre","Conviviente","Sí",29,56,40,5
NA,"Medio bajo","ANCASH","Mujer","Conviviente","No",24,56,NA,NA
"No","Medio bajo","ANCASH","Hombre","Soltero/a","Sí",23,70,500,98
"No","Medio bajo","ANCASH","Hombre","Conviviente","Sí",32,72,215,45
"No","Medio bajo","ANCASH","Mujer","Conviviente","No",26,66,310,0
"No","Medio bajo","ANCASH","Hombre","Conviviente","No",29,62,360,0
"No","Medio bajo","ANCASH","Hombre","Casado/a","Sí",52,70,330,0
"No","Medio bajo","ANCASH","Hombre","Soltero/a","Sí",21,54,300,0
"No","Medio bajo","ANCASH","Hombre","Casado/a","Sí",29,70,600,0
"No","Medio bajo","ANCASH","Mujer","Casado/a","No",28,66,450,0
"No","Medio bajo","ANCASH","Hombre","Soltero/a","No",16,70,300,0
NA,"Medio bajo","ANCASH","Mujer","Soltero/a","Sí",47,10,NA,NA
NA,"Medio bajo","ANCASH","Hombre","Conviviente","No",28,72,NA,NA
"No","Medio bajo","ANCASH","Mujer","Conviviente","Sí",30,72,450,0
NA,"Medio bajo","ANCASH","Hombre","Conviviente","Sí",36,60,NA,NA
"No","Medio bajo","ANCASH","Mujer","Soltero/a","Sí",18,48,240,0
NA,"Medio bajo","ANCASH","Mujer","Soltero/a","Sí",28,28,NA,NA
"No","Medio bajo","ANCASH","Mujer","Separado","Sí",21,0,350,0
"No","Medio bajo","ANCASH","Hombre","Conviviente","Sí",31,56,437,0
"No","Medio bajo","ANCASH","Mujer","Conviviente","Sí",36,56,300,0
NA,"Medio bajo","ANCASH","Mujer","Viudo/a","Sí",36,42,NA,NA
NA,"Medio bajo","ANCASH","Hombre","Soltero/a","No",19,42,NA,NA
"No","Medio bajo","ANCASH","Mujer","Conviviente","Sí",45,66,40,6
NA,"Medio bajo","ANCASH","Hombre","Conviviente","Sí",55,70,NA,NA
"No","Medio bajo","ANCASH","Mujer","Soltero/a","Sí",26,95,230,56
NA,"Medio","ANCASH","Hombre","Casado/a","Sí",31,0,NA,NA
"No","Medio","ANCASH","Mujer","Casado/a","Sí",32,0,40,10
"No","Medio","ANCASH","Hombre","Casado/a","Sí",60,30,30,0
"No","Medio","ANCASH","Mujer","Separado","No",39,84,195,77
NA,"Medio","ANCASH","Hombre","Casado/a","Sí",61,66,NA,NA
"Sí","Medio","ANCASH","Mujer","Separado","Sí",35,36,1200,0
"No","Medio bajo","ANCASH","Mujer","Separado","Sí",29,16,80,0
"No","Medio bajo","ANCASH","Mujer","Separado","No",26,0,700,0
"No","Medio bajo","ANCASH","Mujer","Separado","No",38,16,120,0
"No","Medio bajo","ANCASH","Hombre","Conviviente","No",18,72,280,0
"No","Medio bajo","ANCASH","Mujer","Conviviente","Sí",23,76,400,0
"No","Medio bajo","ANCASH","Mujer","Conviviente","Sí",28,0,480,0
"No","Medio bajo","ANCASH","Hombre","Conviviente","Sí",39,24,400,0
"No","Medio bajo","ANCASH","Hombre","Separado","Sí",40,54,430,0
"No","Medio","ANCASH","Hombre","Conviviente","Sí",25,56,250,0
NA,"Medio","ANCASH","Hombre","Conviviente","Sí",36,2,NA,NA
"No","Medio","ANCASH","Mujer","Separado","No",32,45,40,6
NA,"Medio","ANCASH","Hombre","Casado/a","Sí",54,72,NA,NA
"No","Medio","ANCASH","Mujer","Casado/a","Sí",49,60,274,60
NA,"Medio","ANCASH","Hombre","Soltero/a","No",14,24,NA,NA
"Sí","Medio bajo","ANCASH","Hombre","Casado/a","Sí",54,39,2300,0
NA,"Medio bajo","ANCASH","Mujer","Casado/a","Sí",43,19,NA,NA
"No","Medio bajo","ANCASH","Mujer","Conviviente","No",40,54,40,8
NA,"Medio bajo","ANCASH","Hombre","Conviviente","Sí",52,17,NA,NA
"No","Medio bajo","ANCASH","Mujer","Conviviente","Sí",43,16,156,0
"No","Medio bajo","ANCASH","Hombre","Conviviente","Sí",46,18,160,0
"No","Medio bajo","ANCASH","Hombre","Conviviente","Sí",18,30,200,0
NA,"Medio bajo","ANCASH","Mujer","Conviviente","Sí",41,14,NA,NA
"No","Medio bajo","ANCASH","Hombre","Conviviente","Sí",35,66,300,0
"No","Medio bajo","ANCASH","Mujer","Separado","Sí",24,43,240,0
"No","Medio bajo","ANCASH","Hombre","Soltero/a","Sí",41,18,150,0
NA,"Alto","ANCASH","Mujer","Viudo/a","No",51,36,NA,NA
"No","Alto","ANCASH","Mujer","Casado/a","Sí",45,24,140,0
"No","Alto","ANCASH","Mujer","Soltero/a","No",20,24,140,0
"No","Alto","ANCASH","Hombre","Conviviente","No",23,24,140,0
NA,"Alto","ANCASH","Hombre","Conviviente","Sí",29,48,NA,NA
"No","Alto","ANCASH","Mujer","Conviviente","Sí",51,42,35,0
"No","Alto","ANCASH","Hombre","Soltero/a","No",18,6,360,0
"No","Alto","ANCASH","Hombre","Conviviente","Sí",26,42,360,42
"No","Medio","ANCASH","Hombre","Conviviente","Sí",25,26,156,12
"No","Medio","ANCASH","Mujer","Conviviente","No",24,18,30,0
NA,"Medio","ANCASH","Hombre","Casado/a","Sí",33,30,NA,NA
"No","Medio","ANCASH","Hombre","Casado/a","Sí",40,9,68,7
"No","Medio","ANCASH","Mujer","Casado/a","Sí",40,5,35,0
"No","Medio","ANCASH","Hombre","Soltero/a","No",18,5,35,0
"No","Medio","ANCASH","Hombre","Divorciado/a","Sí",49,84,240,60
NA,"Medio","ANCASH","Hombre","Soltero/a","Sí",25,24,NA,NA
"No","Medio","ANCASH","Hombre","Separado","Sí",48,24,520,0
"No","Medio","ANCASH","Hombre","Separado","Sí",25,42,350,21
"No","Medio","ANCASH","Mujer","Soltero/a","No",19,63,200,70
"No","Medio","ANCASH","Mujer","Separado","No",50,63,800,200
NA,"Medio","ANCASH","Hombre","Casado/a","Sí",30,56,NA,NA
"No","Medio","ANCASH","Mujer","Casado/a","No",28,24,20,0
NA,"Medio","ANCASH","Hombre","Conviviente","Sí",31,39,NA,NA
"Sí","Medio","ANCASH","Hombre","Casado/a","Sí",29,54,1000,0
NA,"Medio","ANCASH","Mujer","Casado/a","Sí",28,4,NA,NA
NA,"Medio","ANCASH","Hombre","Separado","Sí",31,84,NA,NA
"No","Bajo","ANCASH","Hombre","Casado/a","Sí",55,98,550,0
"No","Bajo","ANCASH","Mujer","Soltero/a","No",16,24,500,0
"No","Bajo","ANCASH","Hombre","Conviviente","Sí",38,52,450,56
"No","Bajo","ANCASH","Mujer","Conviviente","Sí",28,54,500,48
"No","Bajo","ANCASH","Mujer","Separado","No",30,40,370,25
"No","Bajo","ANCASH","Mujer","Conviviente","No",24,54,200,66
"No","Bajo","ANCASH","Hombre","Conviviente","Sí",28,84,526,49
"No","Bajo","ANCASH","Hombre","Soltero/a","Sí",30,36,400,40
"No","Bajo","ANCASH","Mujer","Soltero/a","Sí",32,83,250,24
NA,"Bajo","ANCASH","Hombre","Conviviente","Sí",60,3,NA,NA
"No","Bajo","ANCASH","Mujer","Conviviente","Sí",54,68,1000,200
"No","Bajo","ANCASH","Hombre","Soltero/a","No",19,72,250,0
"Sí","Bajo","ANCASH","Mujer","Soltero/a","Sí",32,95,1700,120
NA,"Bajo","ANCASH","Hombre","Conviviente","Sí",21,84,NA,NA
"No","Bajo","ANCASH","Mujer","Conviviente","Sí",28,102,500,0
NA,"Medio bajo","ANCASH","Hombre","Conviviente","Sí",28,70,NA,NA
NA,"Bajo","ANCASH","Hombre","Casado/a","No",44,91,NA,NA
"No","Bajo","ANCASH","Mujer","Casado/a","No",28,60,250,75
"No","Bajo","ANCASH","Hombre","Soltero/a","Sí",20,60,400,0
"No","Bajo","ANCASH","Mujer","Viudo/a","Sí",57,48,200,42
"No","Bajo","ANCASH","Mujer","Conviviente","Sí",25,70,280,49
"No","Bajo","ANCASH","Hombre","Conviviente","Sí",30,84,230,56
"No","Bajo","ANCASH","Hombre","Casado/a","Sí",30,72,300,0
"No","Bajo","ANCASH","Mujer","Casado/a","Sí",37,72,70,0
NA,"Medio","ANCASH","Hombre","Casado/a","Sí",30,56,NA,NA
"No","Medio","ANCASH","Mujer","Casado/a","Sí",27,49,250,49
"No","Medio","ANCASH","Mujer","Separado","Sí",48,63,250,54
NA,"Medio","ANCASH","Hombre","Casado/a","Sí",41,42,NA,NA
"No","Medio","ANCASH","Mujer","Casado/a","No",18,20,200,0
"No","Medio","ANCASH","Hombre","Casado/a","Sí",34,28,140,30
"No","Medio","ANCASH","Mujer","Casado/a","Sí",32,28,140,30
NA,"Medio","ANCASH","Hombre","Conviviente","Sí",29,10,NA,NA
NA,"Medio","ANCASH","Hombre","Casado/a","Sí",59,84,NA,NA
NA,"Medio","ANCASH","Mujer","Casado/a","Sí",57,5,NA,NA
"No","Medio","ANCASH","Mujer","Conviviente","Sí",32,3,60,0
NA,"Medio","ANCASH","Hombre","Conviviente","Sí",42,56,NA,NA
"No","Medio","ANCASH","Hombre","Conviviente","Sí",29,72,240,0
"No","Medio","ANCASH","Hombre","Soltero/a","Sí",22,90,520,120
"No","Medio","ANCASH","Mujer","Separado","Sí",43,104,175,0
"Sí","Medio","ANCASH","Hombre","Conviviente","Sí",34,90,600,0
NA,"Medio","ANCASH","Mujer","Conviviente","Sí",30,3,NA,NA
"No","Medio","ANCASH","Hombre","Conviviente","Sí",50,72,340,0
"No","Medio","ANCASH","Mujer","Conviviente","Sí",43,72,620,0
"No","Medio","ANCASH","Hombre","Soltero/a","No",16,24,50,16
"No","Medio","ANCASH","Hombre","Conviviente","Sí",32,60,240,0
"No","Medio","ANCASH","Hombre","Soltero/a","No",14,21,20,9
NA,"Medio","ANCASH","Hombre","Casado/a","Sí",43,8,NA,NA
NA,"Medio","ANCASH","Mujer","Separado","Sí",37,12,NA,NA
"No","Medio","ANCASH","Hombre","Conviviente","No",22,60,300,48
"No","Medio","ANCASH","Hombre","Conviviente","Sí",33,56,400,70
"No","Medio","ANCASH","Hombre","Soltero/a","Sí",26,36,40,8
"No","Bajo","ANCASH","Hombre","Conviviente","Sí",35,18,70,0
"No","Bajo","ANCASH","Mujer","Conviviente","Sí",41,48,150,48
"No","Bajo","ANCASH","Hombre","Separado","Sí",30,56,720,106
"Sí","Bajo","ANCASH","Mujer","Soltero/a","Sí",28,55,1400,0
NA,"Bajo","ANCASH","Hombre","Conviviente","Sí",35,49,NA,NA
"No","Bajo","ANCASH","Mujer","Casado/a","Sí",32,60,300,42
NA,"Bajo","ANCASH","Hombre","Casado/a","Sí",31,30,NA,NA
"No","Bajo","ANCASH","Mujer","Conviviente","Sí",28,64,250,0
"No","Bajo","ANCASH","Hombre","Conviviente","Sí",28,48,300,0
NA,"Bajo","ANCASH","Hombre","Casado/a","Sí",53,84,NA,NA
"No","Bajo","ANCASH","Mujer","Soltero/a","No",25,54,210,0
"No","Bajo","ANCASH","Mujer","Soltero/a","No",22,48,180,0
"No","Bajo","ANCASH","Mujer","Soltero/a","No",20,72,200,0
"No","Bajo","ANCASH","Mujer","Separado","Sí",44,48,180,42
